tanth          M1coeff        M2coeff        lam1           lam2           lam3           lam4           lam5           m3             m5             mH             vDelta         vphi           mu2sq          mu3sq          
0.01099        27.974         16.48978       0.03248        0.73307        -0.1259        0.43211        0.42877        675.48961      694.55756      665.74093      0.95643        246.20514      -7837.13903    380443.88503   
0.00515        8.45382        -28.94512      0.03236        0.36626        0.983          -0.09586       0.00159        534.62494      534.56383      534.65468      0.44835        246.21673      -7842.8301     241378.69441   
0.00866        4.2106         -19.75229      0.03237        -0.009         0.5921         0.01345        -0.0144        290.16533      288.34119      291.08425      0.75404        246.21076      -7844.88118    84753.49113    
0.00985        3.19035        -26.62339      0.03237        1.43938        0.04383        0.10211        2.89259        379.54304      564.89764      237.73429      0.85775        246.20805      -7845.48418    57067.14521    
0.00887        15.28737       -0.19655       0.03235        0.61968        -0.56229       0.78555        -2.83093       462.84606      206.38677      547.74544      0.77222        246.21031      -7833.94422    53270.21246    
0.01091        14.04489       23.18056       0.0324         0.40441        0.5576         -0.04338       -0.19456       467.17051      454.63924      473.30011      0.94967        246.20535      -7837.91688    163427.71811   
0.0063         15.96704       -7.75055       0.0324         0.96362        0.59945        -0.04647       1.84603        705.20463      780.48325      664.37351      0.5483         246.21512      -7844.03557    436389.77742   
0.00561        8.31261        28.9083        0.03236        0.84184        0.89795        -0.28377       0.35487        518.20055      538.70926      507.63005      0.48875        246.21612      -7841.70741    177295.91969   
0.0059         12.79571       -10.76492      0.03239        -0.00228       -0.21516       0.24864        -0.08892       612.17843      607.69403      614.40945      0.51379        246.21571      -7843.99782    372296.81018   
0.00469        4.88665        21.64532       0.03235        0.7793         0.61596        -0.04722       0.3118         437.0256       458.25343      426.01167      0.40797        246.2173       -7842.52873    106004.02538   
0.00314        4.909          -10.84528      0.03235        1.10753        -0.99846       1.02608        -1.89696       463.10848      315.32591      521.52351      0.27356        246.21878      -7842.70493    22663.45179    
0.00037        0.67182        -28.2628       0.03235        0.71463        1.29584        -0.3227        0.88092        589.17722      632.86975      566.06768      0.03178        246.21998      -7843.77794    287179.06707   
0.0056         12.99527       24.14924       0.03239        0.4455         1.05057        -0.31746       0.73279        652.91872      686.18964      635.63052      0.48741        246.21614      -7843.8158     394557.21523   
0.0071         4.69464        -8.96277       0.03238        0.73601        0.2714         0.04827        1.82735        412.894        530.26729      339.31324      0.61823        246.21379      -7846.12198    136591.41065   
0.00324        4.48661        -21.53237      0.03235        0.31605        0.12211        0.26471        0.5417         507.33302      538.65674      490.9227       0.28219        246.21871      -7843.84343    235447.04716   
0.00752        6.96513        29.40377       0.03235        0.5687         -0.85164       1.06692        -0.81055       369.75759      296.31863      401.46574      0.6545         246.21304      -7839.9903     43306.10465    
0.00615        7.27352        2.81104        0.03236        1.15584        0.00383        0.08545        0.9655         485.06811      542.0616       453.88665      0.53507        246.21535      -7841.40412    124417.51798   
0.01035        15.00271       -11.48576      0.03244        0.95562        -0.76924       0.9045         1.95519        558.30701      655.79228      502.52613      0.90073        246.20682      -7845.46925    255009.45892   
